,CustomerID,Recency,Frequency,Monetary,Country,Customer_Region,Cluster
0,12346,325,1,77183.6,United Kingdom,Domestic,1
1,12347,1,7,4310.0,Iceland,International,2
2,12348,74,4,1797.24,Finland,International,1
3,12349,18,1,1757.55,Italy,International,0
4,12350,309,1,334.4,Norway,International,3
5,12352,35,8,2506.04,Norway,International,1
6,12353,203,1,89.0,Bahrain,International,3
7,12354,231,1,1079.4,Spain,International,3
8,12355,213,1,459.4,Bahrain,International,3
9,12356,22,3,2811.43,Portugal,International,1
10,12357,32,1,6207.67,Switzerland,International,1
11,12358,1,2,1168.06,Austria,International,0
12,12359,57,4,6310.03,Cyprus,International,1
13,12360,51,3,2662.06,Austria,International,1
14,12361,286,1,189.9,Belgium,International,3
15,12362,2,10,5226.23,Belgium,International,2
16,12364,7,4,1313.1,Belgium,International,0
17,12365,290,2,641.38,Cyprus,International,3
18,12367,3,1,168.9,Denmark,International,0
19,12370,50,4,3541.94,Cyprus,International,1
20,12370,50,4,3541.94,Austria,International,1
21,12371,44,2,1887.96,Switzerland,International,1
22,12372,71,3,1298.04,Denmark,International,1
23,12373,310,1,364.6,Austria,International,3
24,12374,24,1,742.9300000000001,Austria,International,0
25,12375,10,2,457.5,Finland,International,0
26,12377,314,2,1628.12,Switzerland,International,1
27,12378,129,1,4008.62,Switzerland,International,1
28,12379,81,2,852.24,Belgium,International,1
29,12380,21,4,2724.81,Belgium,International,1
30,12381,4,5,1845.31,Norway,International,2
31,12383,184,5,1850.56,Belgium,International,1
32,12384,28,2,585.27,Switzerland,International,0
33,12386,337,2,401.9,Australia,International,3
34,12388,15,6,2780.66,Australia,International,2
35,12390,79,1,549.84,Belgium,International,3
36,12391,21,1,439.66,Cyprus,International,0
37,12393,71,4,1582.6,Australia,International,1
38,12394,63,2,1272.48,Belgium,International,1
39,12394,63,2,1272.48,Denmark,International,1
40,12395,18,12,3018.63,Belgium,International,2
41,12397,35,2,2409.9,Belgium,International,1
42,12398,45,1,1635.66,Switzerland,International,1
43,12399,118,4,1108.65,Belgium,International,1
44,12401,302,1,84.3,Belgium,International,3
45,12402,322,1,225.6,Belgium,International,3
46,12403,49,1,427.7,Denmark,International,3
47,12405,148,1,1710.39,Finland,International,3
48,12406,21,2,3415.3,Denmark,International,1
49,12407,49,5,1708.12,Belgium,International,1
50,12408,32,5,2888.55,Belgium,International,1
51,12409,78,3,11072.67,Switzerland,International,1
52,12410,308,2,693.3299999999999,Switzerland,International,3
53,12412,74,3,1226.88,Denmark,International,1
54,12413,66,3,758.1,France,International,1
55,12414,216,3,562.41,Austria,International,3
56,12415,23,21,124914.53,Australia,International,2
57,12417,2,9,3649.1,Belgium,International,2
58,12417,2,9,3649.1,Spain,International,2
59,12418,112,1,668.58,Switzerland,International,3
60,12420,63,1,600.39,Cyprus,International,3
61,12421,15,4,807.04,Spain,International,0
62,12422,95,3,803.5600000000001,Australia,International,1
63,12422,95,3,803.5600000000001,Switzerland,International,1
64,12423,0,8,1859.31,Belgium,International,2
65,12424,162,2,1760.96,Australia,International,1
66,12425,77,1,777.2,Portugal,International,3
67,12426,194,1,582.73,Germany,International,3
68,12427,21,3,825.8,Germany,International,0
69,12428,25,9,7956.46,Finland,International,2
70,12429,8,4,3750.4,Denmark,International,2
71,12429,8,4,3750.4,Austria,International,2
72,12430,42,1,256.4,Norway,International,3
73,12431,35,15,6419.95,Australia,International,2
74,12431,35,15,6419.95,Belgium,International,2
75,12432,42,5,5059.32,Norway,International,1
76,12433,0,7,13375.87,Norway,International,2
77,12434,84,2,806.14,Australia,International,1
78,12435,79,2,7829.89,Denmark,International,1
79,12436,99,1,509.01,Norway,International,3
80,12437,1,18,4951.41,France,International,2
81,12438,13,2,2906.85,Norway,International,1
82,12441,366,1,173.55,France,International,3
83,12442,2,1,172.06,Spain,International,0
84,12444,20,5,5005.46,Norway,International,1
85,12445,21,1,133.4,Spain,International,0
86,12446,57,1,1002.31,South Africa,International,3
87,12447,242,1,476.49,Belgium,International,3
88,12448,43,1,449.45,Spain,International,3
89,12449,21,4,4067.29,Belgium,International,1
90,12450,155,2,197.88,Spain,International,3
91,12451,10,5,9035.52,Switzerland,International,2
92,12452,16,2,430.57,Switzerland,International,0
93,12453,133,1,707.09,Austria,International,3
94,12454,55,1,3528.34,Spain,International,1
95,12455,72,6,2466.86,Cyprus,International,1
96,12455,72,6,2466.86,Spain,International,1
97,12456,43,3,3181.04,Switzerland,International,1
98,12457,65,7,2363.23,Switzerland,International,1
99,12457,65,7,2363.23,Cyprus,International,1
100,12458,70,2,947.4,Switzerland,International,1
101,12461,93,2,826.88,Switzerland,International,1
102,12462,18,2,1189.59,Spain,International,0
103,12463,52,4,1344.78,Belgium,International,1
104,12464,9,8,1212.05,Belgium,International,2
105,12465,16,2,742.1899999999999,Belgium,International,0
106,12468,187,2,729.5400000000001,Germany,International,3
107,12471,1,30,19788.65,Germany,International,2
108,12472,31,7,6572.11,Germany,International,2
109,12473,28,5,3928.05,Germany,International,1
110,12474,16,18,7324.09,Germany,International,2
111,12475,53,1,723.38,Germany,International,3
112,12476,15,11,6816.42,Germany,International,2
113,12477,22,6,13219.74,Germany,International,2
114,12478,3,1,680.99,Greece,International,0
115,12479,10,1,527.2,Germany,International,0
116,12480,27,4,3281.63,Germany,International,1
117,12481,22,10,5579.82,Germany,International,2
118,12483,16,8,2484.98,Sweden,International,2
119,12484,32,6,4527.32,Spain,International,1
120,12488,9,3,1298.66,France,International,0
121,12489,335,1,334.93,France,International,3
122,12490,4,10,5417.93,France,International,2
123,12491,38,1,460.4,France,International,0
124,12492,62,2,263.21000000000004,Germany,International,3
125,12493,165,2,433.74,France,International,3
126,12494,15,7,1246.1,France,International,1
127,12497,81,1,1043.1,Germany,International,3
128,12498,20,3,403.7000000000001,Germany,International,0
129,12500,22,11,4257.82,Germany,International,2
130,12501,336,1,2169.39,Germany,International,3
131,12502,95,5,3723.87,Spain,International,1
132,12504,17,2,482.05,Germany,International,0
133,12506,232,1,73.5,France,International,3
134,12507,133,3,1304.81,Spain,International,1
135,12508,25,2,397.88,France,International,0
136,12509,283,1,176.5,France,International,3
137,12510,142,2,982.57,Spain,International,1
138,12512,65,2,132.18,Israel,International,3
139,12513,112,1,612.29,France,International,3
140,12514,266,1,1017.68,Italy,International,3
141,12515,352,1,383.7,Italy,International,3
142,12516,77,2,1312.06,Germany,International,1
143,12517,27,5,2481.6,Germany,International,1
144,12518,0,5,2056.89,Germany,International,2
145,12519,63,1,330.84,Germany,International,3
146,12520,78,5,2634.26,Germany,International,1
147,12521,142,1,599.68,Germany,International,3
148,12522,38,2,192.72,Germany,International,0
149,12523,18,11,1789.77,France,International,2
150,12524,8,8,4485.72,Germany,International,2
151,12526,0,3,1316.66,Germany,International,0
152,12527,81,3,348.71000000000004,Germany,International,3
153,12528,8,6,1933.48,Germany,International,2
154,12530,59,4,1662.28,Germany,International,1
155,12531,14,1,125.22,Germany,International,0
156,12532,29,1,349.83000000000004,France,International,0
157,12534,130,1,1089.18,Germany,International,3
158,12535,91,2,716.35,France,International,3
159,12536,42,3,12601.830000000002,France,International,1
160,12538,28,1,363.95,Spain,International,0
161,12539,21,4,5568.35,Spain,International,1
162,12540,19,17,13400.24,Spain,International,2
163,12541,29,3,981.18,Spain,International,1
164,12544,35,1,372.7,Spain,International,0
165,12545,74,2,1000.39,Spain,International,1
166,12546,46,2,1161.5,Spain,International,1
167,12547,197,2,207.8,Spain,International,3
168,12548,165,1,95.2,Spain,International,3
169,12550,78,1,964.83,Spain,International,3
170,12551,357,1,168.0,Spain,International,3
171,12552,38,2,437.82,Italy,International,0
172,12553,7,10,3692.28,France,International,2
173,12556,49,2,599.56,Spain,International,0
174,12557,15,5,11990.96,Spain,International,2
175,12558,7,1,269.96,United States,International,0
176,12559,310,2,561.71,Germany,International,3
177,12560,4,3,2134.01,Germany,International,0
178,12561,302,1,238.85,Germany,International,3
179,12562,7,7,3781.74,France,International,2
180,12564,260,1,456.9,France,International,3
181,12565,288,1,145.92,Saudi Arabia,International,3
182,12566,85,1,351.65,Germany,International,3
183,12567,22,10,9401.28,France,International,2
184,12569,1,32,4124.69,Germany,International,2
185,12571,39,2,519.61,France,International,0
186,12572,8,2,1020.42,Germany,International,0
187,12573,226,1,160.54000000000002,France,International,3
188,12574,315,1,218.45,France,International,3
189,12576,35,5,1315.83,Poland,International,1
190,12577,34,3,626.6,France,International,1
191,12578,20,2,2794.51,Italy,International,1
192,12579,77,1,440.42,France,International,3
193,12580,246,1,415.7,Germany,International,3
194,12581,39,1,197.71,Germany,International,3
195,12582,238,2,511.36,Finland,International,3
196,12583,2,15,7281.38,France,International,2
197,12584,3,9,2338.15,Italy,International,2
198,12585,233,2,2040.1,Germany,International,1
199,12586,16,1,196.94000000000003,Italy,International,0
200,12587,7,1,144.0,Finland,International,0
201,12588,38,1,214.9,Finland,International,3
202,12589,28,2,646.68,France,International,0
203,12590,210,2,9864.26,Germany,International,1
204,12591,316,1,452.85,Italy,International,3
205,12592,91,2,437.6,Germany,International,3
206,12593,108,3,418.1,France,International,3
207,12594,37,10,3338.2200000000003,Italy,International,2
208,12596,50,2,618.27,Spain,International,1
209,12597,18,4,3811.22,Spain,International,1
210,12598,9,8,3023.08,France,International,2
211,12599,28,7,1032.58,France,International,1
212,12600,28,10,2599.04,Germany,International,2
213,12601,189,5,577.0600000000001,Germany,International,1
214,12602,58,1,153.12,France,International,3
215,12603,21,1,739.1999999999999,Germany,International,0
216,12604,78,2,254.18,France,International,3
217,12607,59,1,1579.51,United States,International,1
218,12609,77,3,1126.85,Germany,International,1
219,12610,22,5,2099.54,Italy,International,1
220,12611,51,1,1193.32,Italy,International,1
221,12612,73,1,704.0400000000001,Germany,International,3
222,12613,56,5,3344.38,Germany,International,1
223,12614,277,1,315.6,Germany,International,3
224,12615,1,4,2291.19,France,International,2
225,12616,94,2,713.3,France,International,3
226,12617,28,1,352.98,France,International,0
227,12618,21,1,177.31,Italy,International,0
228,12619,15,9,3641.24,Germany,International,2
229,12620,14,3,1339.41,France,International,1
230,12621,1,20,13689.67,Germany,International,2
231,12622,231,1,180.1,Germany,International,3
232,12623,275,1,305.1,Germany,International,3
233,12624,105,2,641.13,France,International,3
234,12625,211,2,2683.82,Germany,International,1
235,12626,22,9,6620.48,Germany,International,2
236,12627,10,7,4478.53,Germany,International,2
237,12628,3,3,786.46,Germany,International,0
238,12630,9,2,1270.88,Finland,International,0
239,12631,56,1,640.5,Finland,International,3
240,12633,58,4,2163.98,Germany,International,1
241,12635,89,2,1689.18,Germany,International,1
242,12637,66,8,6002.9,France,International,1
243,12638,32,1,671.69,Sweden,International,0
244,12639,238,1,486.1,Sweden,International,3
245,12640,23,3,1174.58,France,International,1
246,12641,114,1,185.9,Sweden,International,3
247,12642,24,3,1013.26,Germany,International,1
248,12643,127,6,3344.64,France,International,1
249,12644,129,1,477.91,Germany,International,3
250,12645,33,4,1775.18,Germany,International,1
251,12646,4,2,1346.97,United States,International,0
252,12647,21,12,3722.82,Germany,International,2
253,12648,154,1,318.05,Germany,International,3
254,12649,106,3,623.51,Germany,International,1
255,12650,2,1,314.44,France,International,0
256,12651,334,1,114.0,France,International,3
257,12652,330,1,919.98,France,International,3
258,12653,148,2,2209.85,Israel,International,1
259,12654,10,5,601.98,Germany,International,0
260,12656,16,5,4051.17,France,International,1
261,12657,10,4,1643.18,France,International,1
262,12658,18,1,686.05,Germany,International,0
263,12659,29,1,91.68,France,International,3
264,12660,10,1,245.1,France,International,0
265,12662,0,11,3849.78,Germany,International,2
266,12664,7,9,4881.88,Finland,International,2
267,12665,324,1,63.0,Germany,International,3
268,12667,57,1,620.13,Finland,International,3
269,12668,11,4,3807.15,Germany,International,1
270,12669,150,3,2744.03,France,International,1
271,12670,9,5,2996.05,France,International,2
272,12672,329,1,225.9,France,International,3
273,12673,4,2,610.52,Germany,International,0
274,12674,38,4,1970.6,France,International,1
275,12676,24,6,1331.39,Sweden,International,1
276,12678,41,12,17628.46,France,International,2
277,12679,58,4,1113.02,France,International,1
278,12680,0,4,862.81,France,International,0
279,12681,14,22,13787.54,France,International,2
280,12682,3,31,12279.82,France,International,2
281,12683,3,15,8476.57,France,International,2
282,12684,7,7,2283.63,France,International,2
283,12685,27,6,2863.08,France,International,1
284,12686,371,1,89.14,France,International,3
285,12688,113,1,4873.81,Israel,International,1
286,12689,25,2,1247.61,France,International,1
287,12690,205,1,389.01,France,International,3
288,12691,27,6,1035.8,France,International,1
289,12693,126,4,855.91,Germany,International,1
290,12694,69,2,869.67,France,International,1
291,12695,6,4,582.1,France,International,0
292,12697,28,3,957.59,Sweden,International,1
293,12700,7,4,4939.99,France,International,2
294,12701,79,2,797.71,Germany,International,1
295,12702,19,1,219.0,Germany,International,0
296,12703,70,1,283.55,Germany,International,3
297,12704,6,8,2340.84,Finland,International,2
298,12705,14,9,6868.29,Germany,International,2
299,12707,291,1,603.42,France,International,3
300,12708,29,10,2712.91,Germany,International,2
301,12709,14,15,9706.52,Germany,International,2
302,12710,96,3,1149.02,Germany,International,1
303,12712,28,13,4396.13,Germany,International,2
304,12713,0,1,848.55,Germany,International,0
305,12714,8,5,4708.86,France,International,2
306,12715,105,1,343.36,Sweden,International,3
307,12716,3,2,1053.49,France,International,0
308,12717,150,2,1030.98,Greece,International,1
309,12718,70,1,238.25,France,International,3
310,12719,4,2,644.95,France,International,0
311,12720,2,25,5781.73,Germany,International,2
312,12721,31,6,2656.13,France,International,1
313,12722,84,4,997.63,France,International,1
314,12723,3,5,725.07,France,International,0
315,12724,4,4,1031.41,France,International,0
316,12725,370,1,427.8,Italy,International,3
317,12726,27,7,2609.1,France,International,1
318,12727,10,7,3980.7,France,International,2
319,12728,70,4,836.33,France,International,1
320,12729,113,1,453.01,France,International,3
321,12731,23,12,18895.91,France,International,2
322,12732,179,1,236.26,France,International,3
323,12733,233,1,383.95,United States,International,3
324,12734,352,1,110.4,France,International,3
325,12735,314,2,779.5699999999999,France,International,3
326,12736,332,1,234.0,France,International,3
327,12738,371,1,155.35,Germany,International,3
328,12739,77,2,1013.04,United Arab Emirates,International,1
329,12740,63,1,427.6,France,International,3
330,12744,51,7,21279.29,Singapore,International,2
331,12747,1,11,4196.01,United Kingdom,Domestic,2
332,12748,0,209,33053.19,United Kingdom,Domestic,2
333,12749,3,5,4090.88,United Kingdom,Domestic,2
334,12750,128,1,275.88,Poland,International,3
335,12752,80,1,4366.78,Norway,International,1
336,12753,22,6,21429.39,Japan,International,2
337,12754,235,3,3010.74,Japan,International,1
338,12755,280,2,3811.95,Japan,International,1
339,12756,86,1,112.07999999999998,Japan,International,3
340,12757,15,13,7834.650000000001,Portugal,International,2
341,12758,116,2,2791.59,Portugal,International,1
342,12759,51,3,1531.44,Netherlands,International,1
343,12762,7,2,1898.52,Portugal,International,0
344,12763,137,2,494.08,Japan,International,3
345,12764,316,1,1693.88,Lebanon,International,3
346,12766,3,7,6989.63,Portugal,International,2
347,12769,238,1,1143.6,Brazil,International,3
348,12770,210,1,1351.45,Japan,International,3
349,12772,59,1,892.47,Portugal,International,3
350,12775,16,5,1386.04,Netherlands,International,1
351,12778,19,6,822.23,Netherlands,International,1
352,12779,37,8,3981.36,Poland,International,1
353,12781,63,2,826.74,Czech Republic,International,1
354,12782,4,5,2330.92,Portugal,International,2
355,12783,1,6,2225.91,Portugal,International,2
356,12784,8,2,532.8199999999999,Portugal,International,0
357,12785,363,1,311.95,Portugal,International,3
358,12787,9,3,463.66,Netherlands,International,0
359,12789,64,1,91.85,Netherlands,International,3
360,12790,191,1,324.92,Netherlands,International,3
361,12791,373,1,192.6,Netherlands,International,3
362,12792,256,1,400.54,Portugal,International,3
363,12793,334,2,545.48,Portugal,International,3
364,12794,52,2,860.41,Portugal,International,1
365,12795,18,1,430.48,Portugal,International,0
366,12797,365,1,254.03,Portugal,International,3
367,12798,9,3,6977.04,Japan,International,2
368,12802,186,1,427.58,Netherlands,International,3
369,12808,36,3,483.65,Portugal,International,0
370,12809,177,1,489.31,Portugal,International,3
371,12811,260,3,514.85,Portugal,International,3
372,12812,44,1,229.64,Japan,International,3
373,12814,101,1,125.92,Poland,International,3
374,12815,147,2,1063.46,Poland,International,1
375,12816,95,2,572.2,Poland,International,3
376,12817,280,1,166.04,Austria,International,3
377,12818,261,1,1542.08,Austria,International,3
378,12820,2,4,942.34,United Kingdom,Domestic,0
379,12821,213,1,92.72,United Kingdom,Domestic,3
380,12822,70,2,948.88,United Kingdom,Domestic,1
381,12823,74,5,1759.5,United Kingdom,Domestic,1
382,12824,59,1,397.12,United Kingdom,Domestic,3
383,12826,2,7,1474.72,United Kingdom,Domestic,2
384,12827,5,3,430.15,United Kingdom,Domestic,0
385,12828,2,6,1018.71,United Kingdom,Domestic,2
386,12829,336,2,293.0,United Kingdom,Domestic,3
387,12830,37,6,6814.64,United Kingdom,Domestic,1
388,12831,261,1,215.05,United Kingdom,Domestic,3
389,12832,31,2,383.03,United Kingdom,Domestic,0
390,12833,144,1,417.38,United Kingdom,Domestic,3
391,12834,282,1,312.38,United Kingdom,Domestic,3
392,12836,58,4,2610.36,United Kingdom,Domestic,1
393,12837,172,1,134.1,United Kingdom,Domestic,3
394,12838,33,2,671.95,United Kingdom,Domestic,0
395,12839,2,14,5591.42,United Kingdom,Domestic,2
396,12840,143,4,2726.77,United Kingdom,Domestic,1
397,12841,4,25,3991.58,United Kingdom,Domestic,2
398,12842,69,2,1118.99,United Kingdom,Domestic,1
399,12843,65,8,1702.26,United Kingdom,Domestic,1
400,12844,28,2,325.96000000000004,United Kingdom,Domestic,0
401,12845,266,4,354.09,United Kingdom,Domestic,3
402,12847,21,1,843.64,United Kingdom,Domestic,0
