CustomerID,Recency,Frequency,Monetary,Country,Customer_Region,Cluster,Segment,PCA1,PCA2
12346,325,1,77183.6,United Kingdom,Domestic,1,Loyal Customers,0.8949195235282965,2.6531566705084906
12347,1,7,4310.0,Iceland,International,2,VIP / Champions,2.603385479471695,-0.8942297059629162
12348,74,4,1797.24,Finland,International,1,Loyal Customers,0.46847783696895035,0.7569795504541704
12349,18,1,1757.55,Italy,International,0,Potential Loyalists,0.11988278059747316,-0.4133630802047625
12350,309,1,334.4,Norway,International,3,At-Risk,-1.6630207936111263,0.6371227242977661
12352,35,8,2506.04,Norway,International,1,Loyal Customers,1.4199428006826236,0.6663908780583082
12353,203,1,89.0,Bahrain,International,3,At-Risk,-2.136507851406351,-0.09142562023676291
12354,231,1,1079.4,Spain,International,3,At-Risk,-1.0053696520330129,0.892463697398632
12355,213,1,459.4,Bahrain,International,3,At-Risk,-1.3805062703667206,0.5330631048483984
12356,22,3,2811.43,Portugal,International,1,Loyal Customers,0.9009924621512188,0.13469060154040968
12357,32,1,6207.67,Switzerland,International,1,Loyal Customers,0.5200015778140846,0.37467131603058873
12358,1,2,1168.06,Austria,International,0,Potential Loyalists,1.09806568105251,-1.7433627431997423
12359,57,4,6310.03,Cyprus,International,1,Loyal Customers,1.1550110486669654,1.0630710926219955
12360,51,3,2662.06,Austria,International,1,Loyal Customers,0.5835321439376827,0.5984590210627052
12361,286,1,189.9,Belgium,International,3,At-Risk,-1.9023916472284668,0.3855943320765973
12362,2,10,5226.23,Belgium,International,2,VIP / Champions,2.837782847708501,-0.4624697681264579
12364,7,4,1313.1,Belgium,International,0,Potential Loyalists,1.1199715598122606,-0.6846174707707775
12365,290,2,641.38,Cyprus,International,3,At-Risk,-0.9658395369579381,0.9909586144451611
12367,3,1,168.9,Denmark,International,0,Potential Loyalists,-0.43001799183815104,-2.1907522041580227
12370,50,4,3541.94,Cyprus,International,1,Loyal Customers,0.9275391106500835,0.7759615515040947
12370,50,4,3541.94,Austria,International,1,Loyal Customers,0.9275391106500835,0.7759615515040947
12371,44,2,1887.96,Switzerland,International,1,Loyal Customers,0.21231513341267708,0.27802879789048673
