CustomerID,Recency,Frequency,Monetary,Country,Customer_Region
12346,325,1,77183.6,United Kingdom,Domestic
12747,1,11,4196.01,United Kingdom,Domestic
12748,0,209,33053.19,United Kingdom,Domestic
12749,3,5,4090.88,United Kingdom,Domestic
12820,2,4,942.34,United Kingdom,Domestic
12821,213,1,92.72,United Kingdom,Domestic
12822,70,2,948.88,United Kingdom,Domestic
12823,74,5,1759.5,United Kingdom,Domestic
12824,59,1,397.12,United Kingdom,Domestic
12826,2,7,1474.72,United Kingdom,Domestic
12827,5,3,430.15000000000003,United Kingdom,Domestic
12828,2,6,1018.71,United Kingdom,Domestic
12829,336,2,293.0,United Kingdom,Domestic
12830,37,6,6814.64,United Kingdom,Domestic
12831,261,1,215.05,United Kingdom,Domestic
12832,31,2,383.03,United Kingdom,Domestic
12833,144,1,417.38,United Kingdom,Domestic
12834,282,1,312.38,United Kingdom,Domestic
12836,58,4,2610.36,United Kingdom,Domestic
12837,172,1,134.1,United Kingdom,Domestic
12838,33,2,671.95,United Kingdom,Domestic
12839,2,14,5591.42,United Kingdom,Domestic
12840,143,4,2726.77,United Kingdom,Domestic
12841,4,25,3991.58,United Kingdom,Domestic
12842,69,2,1118.99,United Kingdom,Domestic
12843,65,8,1702.26,United Kingdom,Domestic
12844,28,2,325.96000000000004,United Kingdom,Domestic
12845,266,4,354.09,United Kingdom,Domestic
12847,21,1,843.64,United Kingdom,Domestic
12849,30,2,1010.29,United Kingdom,Domestic
12851,96,1,131.81,United Kingdom,Domestic
12852,294,1,311.55,United Kingdom,Domestic
12853,134,6,1957.1000000000001,United Kingdom,Domestic
12854,78,3,1316.25,United Kingdom,Domestic
12855,372,1,38.1,United Kingdom,Domestic
12856,7,6,2170.78,United Kingdom,Domestic
12857,210,2,1106.4,United Kingdom,Domestic
12863,51,1,521.2,United Kingdom,Domestic
12864,137,1,147.12,United Kingdom,Domestic
12867,25,7,4009.34,United Kingdom,Domestic
12868,185,6,1607.0600000000002,United Kingdom,Domestic
12871,83,2,380.64,United Kingdom,Domestic
12872,326,2,599.97,United Kingdom,Domestic
12873,281,1,374.0,United Kingdom,Domestic
12875,142,2,343.2300000000001,United Kingdom,Domestic
12877,3,12,1535.77,United Kingdom,Domestic
12878,235,2,854.99,United Kingdom,Domestic
12879,44,3,573.22,United Kingdom,Domestic
12881,275,1,298.0,United Kingdom,Domestic
12882,8,2,1463.04,United Kingdom,Domestic
12883,24,4,703.47,United Kingdom,Domestic
