CustomerID,Recency,Frequency,Monetary,Country,Customer_Region,Cluster,Segment
12346,325,1,77183.6,United Kingdom,Domestic,2,Loyal Customers
12747,1,11,4196.01,United Kingdom,Domestic,1,VIP / Champions
12748,0,209,33053.19,United Kingdom,Domestic,1,VIP / Champions
12749,3,5,4090.88,United Kingdom,Domestic,1,VIP / Champions
12820,2,4,942.34,United Kingdom,Domestic,3,Potential Loyalists
12821,213,1,92.72,United Kingdom,Domestic,0,At-Risk
12822,70,2,948.88,United Kingdom,Domestic,2,Loyal Customers
12823,74,5,1759.5,United Kingdom,Domestic,2,Loyal Customers
12824,59,1,397.12,United Kingdom,Domestic,0,At-Risk
12826,2,7,1474.72,United Kingdom,Domestic,1,VIP / Champions
12827,5,3,430.15,United Kingdom,Domestic,3,Potential Loyalists
12828,2,6,1018.71,United Kingdom,Domestic,1,VIP / Champions
12829,336,2,293.0,United Kingdom,Domestic,0,At-Risk
12830,37,6,6814.64,United Kingdom,Domestic,2,Loyal Customers
12831,261,1,215.05,United Kingdom,Domestic,0,At-Risk
12832,31,2,383.03,United Kingdom,Domestic,3,Potential Loyalists
12833,144,1,417.38,United Kingdom,Domestic,0,At-Risk
12834,282,1,312.38,United Kingdom,Domestic,0,At-Risk
12836,58,4,2610.36,United Kingdom,Domestic,2,Loyal Customers
12837,172,1,134.1,United Kingdom,Domestic,0,At-Risk
12838,33,2,671.95,United Kingdom,Domestic,3,Potential Loyalists
12839,2,14,5591.42,United Kingdom,Domestic,1,VIP / Champions
12840,143,4,2726.77,United Kingdom,Domestic,2,Loyal Customers
12841,4,25,3991.58,United Kingdom,Domestic,1,VIP / Champions
12842,69,2,1118.99,United Kingdom,Domestic,2,Loyal Customers
12843,65,8,1702.26,United Kingdom,Domestic,2,Loyal Customers
12844,28,2,325.96000000000004,United Kingdom,Domestic,3,Potential Loyalists
12845,266,4,354.09,United Kingdom,Domestic,0,At-Risk
12847,21,1,843.64,United Kingdom,Domestic,3,Potential Loyalists
12849,30,2,1010.29,United Kingdom,Domestic,2,Loyal Customers
12851,96,1,131.81,United Kingdom,Domestic,0,At-Risk
12852,294,1,311.55,United Kingdom,Domestic,0,At-Risk
12853,134,6,1957.1,United Kingdom,Domestic,2,Loyal Customers
12854,78,3,1316.25,United Kingdom,Domestic,2,Loyal Customers
12855,372,1,38.1,United Kingdom,Domestic,0,At-Risk
12856,7,6,2170.78,United Kingdom,Domestic,1,VIP / Champions
12857,210,2,1106.4,United Kingdom,Domestic,2,Loyal Customers
12863,51,1,521.2,United Kingdom,Domestic,0,At-Risk
12864,137,1,147.12,United Kingdom,Domestic,0,At-Risk
12867,25,7,4009.34,United Kingdom,Domestic,1,VIP / Champions
12868,185,6,1607.0600000000002,United Kingdom,Domestic,2,Loyal Customers
12871,83,2,380.64,United Kingdom,Domestic,0,At-Risk
12872,326,2,599.97,United Kingdom,Domestic,0,At-Risk
12873,281,1,374.0,United Kingdom,Domestic,0,At-Risk
12875,142,2,343.2300000000001,United Kingdom,Domestic,0,At-Risk
12877,3,12,1535.77,United Kingdom,Domestic,1,VIP / Champions
12878,235,2,854.99,United Kingdom,Domestic,0,At-Risk
12879,44,3,573.22,United Kingdom,Domestic,2,Loyal Customers
12881,275,1,298.0,United Kingdom,Domestic,0,At-Risk
12882,8,2,1463.04,United Kingdom,Domestic,3,Potential Loyalists
12883,24,4,703.47,United Kingdom,Domestic,2,Loyal Customers
12884,87,1,309.05,United Kingdom,Domestic,0,At-Risk
12885,62,3,1175.22,United Kingdom,Domestic,2,Loyal Customers
12886,67,2,1378.4,United Kingdom,Domestic,2,Loyal Customers
12888,213,2,354.12,United Kingdom,Domestic,0,At-Risk
12890,23,1,376.72,United Kingdom,Domestic,3,Potential Loyalists
12891,185,3,331.0,United Kingdom,Domestic,0,At-Risk
12893,30,1,176.55,United Kingdom,Domestic,3,Potential Loyalists
12895,41,2,372.8,United Kingdom,Domestic,3,Potential Loyalists
12897,204,2,216.5,United Kingdom,Domestic,0,At-Risk
12901,8,28,17654.54,United Kingdom,Domestic,1,VIP / Champions
12902,264,1,138.68,United Kingdom,Domestic,0,At-Risk
12904,17,2,496.06,United Kingdom,Domestic,3,Potential Loyalists
12906,11,5,2919.81,United Kingdom,Domestic,1,VIP / Champions
12908,175,2,750.0,United Kingdom,Domestic,0,At-Risk
12909,39,5,2178.67,United Kingdom,Domestic,2,Loyal Customers
12910,22,8,3075.04,United Kingdom,Domestic,1,VIP / Champions
12912,2,5,1662.3,United Kingdom,Domestic,1,VIP / Champions
12913,4,5,2483.63,United Kingdom,Domestic,1,VIP / Champions
12915,148,2,363.65,United Kingdom,Domestic,0,At-Risk
12916,138,4,2944.95,United Kingdom,Domestic,2,Loyal Customers
12917,127,1,594.0,United Kingdom,Domestic,0,At-Risk
12919,7,6,1335.19,United Kingdom,Domestic,1,VIP / Champions
12920,16,1,162.78,United Kingdom,Domestic,3,Potential Loyalists
12921,8,37,16587.09,United Kingdom,Domestic,1,VIP / Champions
12922,160,1,405.38,United Kingdom,Domestic,0,At-Risk
12923,63,1,172.82,United Kingdom,Domestic,0,At-Risk
12924,87,4,933.7,United Kingdom,Domestic,2,Loyal Customers
12925,4,2,694.05,United Kingdom,Domestic,3,Potential Loyalists
12928,34,5,2062.7000000000003,United Kingdom,Domestic,2,Loyal Customers
12929,311,1,117.85,United Kingdom,Domestic,0,At-Risk
12930,77,2,415.8,United Kingdom,Domestic,0,At-Risk
12931,21,15,42055.96,United Kingdom,Domestic,1,VIP / Champions
12933,23,3,607.53,United Kingdom,Domestic,3,Potential Loyalists
12935,1,7,2160.7,United Kingdom,Domestic,1,VIP / Champions
12936,16,4,1063.9,United Kingdom,Domestic,2,Loyal Customers
12937,14,4,1504.27,United Kingdom,Domestic,2,Loyal Customers
12938,25,1,114.14,United Kingdom,Domestic,3,Potential Loyalists
12939,63,8,11581.8,United Kingdom,Domestic,1,VIP / Champions
12940,54,2,899.69,United Kingdom,Domestic,2,Loyal Customers
12942,130,3,675.6,United Kingdom,Domestic,2,Loyal Customers
12944,35,2,604.51,United Kingdom,Domestic,3,Potential Loyalists
12945,287,1,462.95,United Kingdom,Domestic,0,At-Risk
12947,143,6,1603.99,United Kingdom,Domestic,2,Loyal Customers
12948,15,7,2064.95,United Kingdom,Domestic,1,VIP / Champions
