CustomerID,Recency,Frequency,Monetary,Country,Customer_Region,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,325,1,77183.6,United Kingdom,Domestic,1,1,5,115,Lost
12747,1,11,4196.01,United Kingdom,Domestic,5,5,5,555,Champions
12748,0,209,33053.19,United Kingdom,Domestic,5,5,5,555,Champions
12749,3,5,4090.88,United Kingdom,Domestic,5,4,5,545,Champions
12820,2,4,942.34,United Kingdom,Domestic,5,4,4,544,Champions
12821,213,1,92.72,United Kingdom,Domestic,1,1,1,111,Lost
12822,70,2,948.88,United Kingdom,Domestic,3,2,4,324,Recent Customers
12823,74,5,1759.5,United Kingdom,Domestic,2,4,4,244,At Risk
12824,59,1,397.12,United Kingdom,Domestic,3,1,2,312,Recent Customers
12826,2,7,1474.72,United Kingdom,Domestic,5,5,4,554,Champions
12827,5,3,430.15000000000003,United Kingdom,Domestic,5,3,2,532,Loyal Customers
12828,2,6,1018.71,United Kingdom,Domestic,5,4,4,544,Champions
12829,336,2,293.0,United Kingdom,Domestic,1,2,2,122,Others
12830,37,6,6814.64,United Kingdom,Domestic,3,4,5,345,Others
12831,261,1,215.05,United Kingdom,Domestic,1,1,1,111,Lost
12832,31,2,383.03,United Kingdom,Domestic,4,2,2,422,Potential Loyalists
12833,144,1,417.38,United Kingdom,Domestic,2,1,2,212,Others
12834,282,1,312.38,United Kingdom,Domestic,1,1,2,112,Lost
12836,58,4,2610.36,United Kingdom,Domestic,3,4,5,345,Others
12837,172,1,134.1,United Kingdom,Domestic,2,1,1,211,Others
12838,33,2,671.95,United Kingdom,Domestic,3,2,3,323,Recent Customers
12839,2,14,5591.42,United Kingdom,Domestic,5,5,5,555,Champions
12840,143,4,2726.77,United Kingdom,Domestic,2,4,5,245,At Risk
12841,4,25,3991.58,United Kingdom,Domestic,5,5,5,555,Champions
12842,69,2,1118.99,United Kingdom,Domestic,3,2,4,324,Recent Customers
12843,65,8,1702.26,United Kingdom,Domestic,3,5,4,354,Others
12844,28,2,325.96000000000004,United Kingdom,Domestic,4,2,2,422,Potential Loyalists
12845,266,4,354.09,United Kingdom,Domestic,1,4,2,142,At Risk
12847,21,1,843.64,United Kingdom,Domestic,4,1,3,413,Recent Customers
12849,30,2,1010.29,United Kingdom,Domestic,4,2,4,424,Recent Customers
12851,96,1,131.81,United Kingdom,Domestic,2,1,1,211,Others
12852,294,1,311.55,United Kingdom,Domestic,1,1,2,112,Lost
12853,134,6,1957.1000000000001,United Kingdom,Domestic,2,4,5,245,At Risk
12854,78,3,1316.25,United Kingdom,Domestic,2,3,4,234,Others
12855,372,1,38.1,United Kingdom,Domestic,1,1,1,111,Lost
12856,7,6,2170.78,United Kingdom,Domestic,5,4,5,545,Champions
12857,210,2,1106.4,United Kingdom,Domestic,1,2,4,124,Others
12863,51,1,521.2,United Kingdom,Domestic,3,1,3,313,Recent Customers
12864,137,1,147.12,United Kingdom,Domestic,2,1,1,211,Others
12867,25,7,4009.34,United Kingdom,Domestic,4,5,5,455,Champions
12868,185,6,1607.0600000000002,United Kingdom,Domestic,1,4,4,144,At Risk
12871,83,2,380.64,United Kingdom,Domestic,2,2,2,222,Others
12872,326,2,599.97,United Kingdom,Domestic,1,2,3,123,Others
12873,281,1,374.0,United Kingdom,Domestic,1,1,2,112,Lost
