CustomerID,Recency,Frequency,Monetary,Country,Customer_Region,Cluster,Segment
12347,1,7,4310.0,Iceland,International,0,Potential Loyalists
12348,74,4,1797.24,Finland,International,2,VIP / Champions
12349,18,1,1757.55,Italy,International,3,At-Risk
12350,309,1,334.4,Norway,International,1,Loyal Customers
12352,35,8,2506.04,Norway,International,2,VIP / Champions
12353,203,1,89.0,Bahrain,International,1,Loyal Customers
12354,231,1,1079.4,Spain,International,1,Loyal Customers
12355,213,1,459.4,Bahrain,International,1,Loyal Customers
12356,22,3,2811.43,Portugal,International,2,VIP / Champions
12357,32,1,6207.67,Switzerland,International,2,VIP / Champions
12358,1,2,1168.06,Austria,International,3,At-Risk
12359,57,4,6310.03,Cyprus,International,2,VIP / Champions
12360,51,3,2662.06,Austria,International,2,VIP / Champions
12361,286,1,189.9,Belgium,International,1,Loyal Customers
12362,2,10,5226.23,Belgium,International,0,Potential Loyalists
12364,7,4,1313.1,Belgium,International,3,At-Risk
12365,290,2,641.38,Cyprus,International,1,Loyal Customers
12367,3,1,168.9,Denmark,International,3,At-Risk
12370,50,4,3541.94,Cyprus,International,2,VIP / Champions
12370,50,4,3541.94,Austria,International,2,VIP / Champions
12371,44,2,1887.96,Switzerland,International,2,VIP / Champions
12372,71,3,1298.04,Denmark,International,2,VIP / Champions
12373,310,1,364.6,Austria,International,1,Loyal Customers
12374,24,1,742.9300000000001,Austria,International,3,At-Risk
12375,10,2,457.5,Finland,International,3,At-Risk
12377,314,2,1628.12,Switzerland,International,1,Loyal Customers
12378,129,1,4008.62,Switzerland,International,2,VIP / Champions
12379,81,2,852.24,Belgium,International,1,Loyal Customers
12380,21,4,2724.81,Belgium,International,2,VIP / Champions
12381,4,5,1845.31,Norway,International,0,Potential Loyalists
12383,184,5,1850.56,Belgium,International,2,VIP / Champions
12384,28,2,585.27,Switzerland,International,3,At-Risk
12386,337,2,401.9,Australia,International,1,Loyal Customers
12388,15,6,2780.66,Australia,International,0,Potential Loyalists
12390,79,1,549.84,Belgium,International,1,Loyal Customers
12391,21,1,439.66,Cyprus,International,3,At-Risk
12393,71,4,1582.6,Australia,International,2,VIP / Champions
12394,63,2,1272.48,Belgium,International,2,VIP / Champions
12394,63,2,1272.48,Denmark,International,2,VIP / Champions
12395,18,12,3018.63,Belgium,International,0,Potential Loyalists
12397,35,2,2409.9,Belgium,International,2,VIP / Champions
12398,45,1,1635.66,Switzerland,International,2,VIP / Champions
12399,118,4,1108.65,Belgium,International,2,VIP / Champions
12401,302,1,84.3,Belgium,International,1,Loyal Customers
12402,322,1,225.6,Belgium,International,1,Loyal Customers
12403,49,1,427.7,Denmark,International,1,Loyal Customers
12405,148,1,1710.39,Finland,International,1,Loyal Customers
12406,21,2,3415.3,Denmark,International,2,VIP / Champions
12407,49,5,1708.12,Belgium,International,2,VIP / Champions
12408,32,5,2888.55,Belgium,International,2,VIP / Champions
12409,78,3,11072.67,Switzerland,International,2,VIP / Champions
12410,308,2,693.3299999999999,Switzerland,International,1,Loyal Customers
12412,74,3,1226.88,Denmark,International,2,VIP / Champions
12413,66,3,758.1,France,International,2,VIP / Champions
12414,216,3,562.41,Austria,International,1,Loyal Customers
12415,23,21,124914.53,Australia,International,0,Potential Loyalists
12417,2,9,3649.1,Belgium,International,0,Potential Loyalists
